"participant_virtual_id","time","event"
"9999964","2019-10-19 11:00:26+00","Repos"
"9999964","2019-10-19 15:47:26+00","Repos"
"9999964","2019-10-19 16:02:05+00","Ouverture De Fenêtre"
"9999964","2019-10-19 16:18:07+00","Fermeture De Fenêtre"
"9999964","2019-10-20 09:59:10+00","Cuisiner"
"9999964","2019-10-20 10:22:04+00","Arrêter De Cuisiner"
"9999964","2019-10-21 14:52:01+00","Repos"
"9999964","2019-10-21 15:45:03+00","Ouverture De Fenêtre"
"9999964","2019-10-21 16:57:50+00","Fermeture De Fenêtre"
"9999964","2019-10-22 05:33:34+00","Ouverture De Fenêtre"
"9999964","2019-10-22 06:13:36+00","Fermeture De Fenêtre"
"9999964","2019-10-22 09:01:22+00","Ouverture De Fenêtre"
"9999964","2019-10-22 09:15:58+00","Fermeture De Fenêtre"
"9999964","2019-10-22 15:53:51+00","Repos"
"9999964","2019-10-23 16:30:43+00","Repos"
"9999964","2019-10-24 05:18:18+00","Ouverture De Fenêtre"
"9999964","2019-10-24 06:15:34+00","Fermeture De Fenêtre"
"9999964","2019-10-24 16:05:56+00","Repos"
"9999964","2019-10-25 05:38:26+00","Ouverture De Fenêtre"
"9999964","2019-10-26 06:43:25+00","Ouverture De Fenêtre"
