"participant_virtual_id","time","activity"
"9999916","2019-10-19 09:23:27+00","Rue"
"9999916","2019-10-19 09:30:37+00","Domicile"
"9999916","2019-10-19 09:36:53+00","Voiture"
"9999916","2019-10-19 10:02:00+00","Rue"
"9999916","2019-10-19 10:03:02+00","Magasin"
"9999916","2019-10-19 12:36:23+00","Rue"
"9999916","2019-10-19 12:39:38+00","Voiture"
"9999916","2019-10-19 13:19:47+00","Rue"
"9999916","2019-10-19 13:20:45+00","Magasin"
"9999916","2019-10-19 13:57:16+00","Voiture"
"9999916","2019-10-19 14:44:42+00","Domicile"
"9999916","2019-10-20 14:01:58+00","Vélo"
"9999916","2019-10-20 14:22:22+00","Domicile"
"9999916","2019-10-20 17:05:02+00","Vélo"
"9999916","2019-10-20 17:20:23+00","Domicile"
"9999916","2019-10-21 06:17:40+00","Rue"
"9999916","2019-10-21 06:28:43+00","Bus"
"9999916","2019-10-21 06:52:57+00","Bureau"
"9999916","2019-10-21 16:00:55+00","Bus"
"9999916","2019-10-21 16:21:20+00","Rue"
"9999916","2019-10-21 16:33:13+00","Domicile"
"9999916","2019-10-21 17:49:53+00","Voiture"
"9999916","2019-10-21 18:11:47+00","Domicile"
"9999916","2019-10-21 19:39:38+00","Voiture"
"9999916","2019-10-21 20:00:59+00","Domicile"
"9999916","2019-10-22 06:46:37+00","Voiture"
"9999916","2019-10-22 07:21:19+00","Bureau"
"9999916","2019-10-22 16:28:04+00","Voiture"
"9999916","2019-10-22 17:14:37+00","Domicile"
"9999916","2019-10-23 06:19:05+00","Rue"
"9999916","2019-10-23 06:28:09+00","Bus"
"9999916","2019-10-23 06:54:38+00","Rue"
"9999916","2019-10-23 06:56:19+00","Bureau"
"9999916","2019-10-23 16:02:14+00","Bus"
"9999916","2019-10-23 16:27:07+00","Rue"
"9999916","2019-10-23 16:39:09+00","Domicile"
"9999916","2019-10-23 17:36:47+00","Rue"
"9999916","2019-10-23 17:39:49+00","Train"
"9999916","2019-10-23 17:55:34+00","Rue"
"9999916","2019-10-23 18:07:14+00","Restaurant"
"9999916","2019-10-23 21:10:10+00","Rue"
"9999916","2019-10-23 21:32:13+00","Train"
"9999916","2019-10-23 22:00:09+00","Rue"
"9999916","2019-10-23 22:08:10+00","Domicile"
"9999916","2019-10-24 06:35:04+00","Voiture"
"9999916","2019-10-24 07:04:31+00","Rue"
"9999916","2019-10-24 07:07:34+00","Bureau"
"9999916","2019-10-24 15:47:48+00","Rue"
"9999916","2019-10-24 15:49:48+00","Voiture"
"9999916","2019-10-24 16:21:35+00","Domicile"
"9999916","2019-10-25 06:18:24+00","Rue"
"9999916","2019-10-25 06:27:15+00","Bus"
"9999916","2019-10-25 06:55:52+00","Rue"
"9999916","2019-10-25 06:57:54+00","Bureau"
"9999916","2019-10-25 15:58:42+00","Rue"
"9999916","2019-10-25 16:00:45+00","Bus"
"9999916","2019-10-25 16:27:03+00","Rue"
"9999916","2019-10-25 16:54:05+00","Domicile"
"9999916","2019-10-25 18:02:37+00","Domicile"
"9999916","2019-10-26 08:15:15+00","Rue"
