"participant_virtual_id","time","event"
"9999965","2019-10-21 16:49:00+00","Marcher"
"9999965","2019-10-22 07:20:00+00","Marcher"
"9999965","2019-10-22 08:11:00+00","Ouverture De Fenêtre"
"9999965","2019-10-22 08:15:00+00","Fermeture De Fenêtre"
"9999965","2019-10-22 10:11:00+00","Allumage De Cheminée"
"9999965","2019-10-22 12:41:00+00","Ouverture De Fenêtre"
"9999965","2019-10-22 12:49:00+00","Fermeture De Fenêtre"
"9999965","2019-10-22 15:13:00+00","Ouverture De Fenêtre"
"9999965","2019-10-22 15:21:00+00","Fermeture De Fenêtre"
"9999965","2019-10-22 16:44:00+00","Marcher"
"9999965","2019-10-22 17:01:00+00","Repos"
"9999965","2019-10-24 07:53:00+00","Marcher"
"9999965","2019-10-24 08:04:00+00","Repos"
"9999965","2019-10-24 11:07:00+00","Ouverture De Fenêtre"
"9999965","2019-10-24 12:00:00+00","Fermeture De Fenêtre"
"9999965","2019-10-24 16:21:00+00","Marcher"
"9999965","2019-10-25 07:36:00+00","Marcher"
"9999965","2019-10-25 07:39:00+00","Repos"
"9999965","2019-10-25 08:57:00+00","Ouverture De Fenêtre"
"9999965","2019-10-25 10:40:00+00","Fermeture De Fenêtre"
"9999965","2019-10-26 09:55:00+00","Ouverture De Fenêtre"
"9999965","2019-10-26 10:09:00+00","Fermeture De Fenêtre"
"9999965","2019-10-26 13:37:00+00","Marcher"
"9999965","2019-10-26 13:43:00+00","Repos"
"9999965","2019-10-26 14:10:00+00","Marcher"
"9999965","2019-10-26 14:16:00+00","Repos"
"9999965","2019-10-26 15:01:00+00","Marcher"
"9999965","2019-10-26 15:08:00+00","Repos"
"9999965","2019-10-26 16:12:00+00","Cuisiner"
"9999965","2019-10-26 16:21:00+00","Arrêter De Cuisiner"
"9999965","2019-10-26 16:35:00+00","Marcher"
"9999965","2019-10-26 16:44:00+00","Repos"
"9999965","2019-10-28 07:28:00+00","Marcher"
"9999965","2019-10-28 07:37:00+00","Repos"
"9999965","2019-10-28 10:18:00+00","Ouverture De Fenêtre"
"9999965","2019-10-28 11:03:00+00","Fermeture De Fenêtre"
"9999965","2019-10-28 13:26:00+00","Ouverture De Fenêtre"
"9999965","2019-10-28 13:59:00+00","Fermeture De Fenêtre"
